14 ST-UNION SQ,456LNQRW,04/01/2017,19062
59 ST,456NQRW,04/01/2017,21552
175 ST,A,04/01/2017,7473
181 ST,A,04/01/2017,6908
190 ST,A,04/01/2017,2734
DYCKMAN ST,A,04/01/2017,4340
INWOOD-207 ST,A,04/01/2017,5926
145 ST,ABCD,04/01/2017,15006
W 4 ST-WASH SQ,ABCDEFM,04/01/2017,25791
125 ST,ACBD,04/01/2017,17753
CANAL ST,ACE,04/01/2017,7075
CANAL ST,ACE,04/01/2017,7075
CHAMBERS ST,ACE23,04/01/2017,9705
14 ST,ACEL,04/01/2017,9770
42 ST-PORT AUTH,ACENQRS1237W,04/01/2017,52206
FULTON ST,ACJZ2345,04/01/2017,9195
103 ST,BC,04/01/2017,2571
116 ST,BC,04/01/2017,4220
135 ST,BC,04/01/2017,2683
72 ST,BC,04/01/2017,4695
81 ST-MUSEUM,BC,04/01/2017,8856
86 ST,BC,04/01/2017,4183
96 ST,BC,04/01/2017,3662
CATHEDRAL PKWY,BC,04/01/2017,4369
155 ST,BD,04/01/2017,2470
GRAND ST,BD,04/01/2017,3
7 AV,BDE,04/01/2017,12
47-50 STS ROCK,BDFM,04/01/2017,15617
42 ST-BRYANT PK,BDFM7,04/01/2017,11438
34 ST-HERALD SQ,BDFMNQRW,04/01/2017,57525
B'WAY-LAFAYETTE,BDFQ6,04/01/2017,10409
163 ST-AMSTERDM,C,04/01/2017,3093
23 ST,CE,04/01/2017,11307
SPRING ST,CE,04/01/2017,5084
5 AV/53 ST,EM,04/01/2017,43
57 ST,F,04/01/2017,8551
EAST BROADWAY,F,04/01/2017,8889
LEXINGTON AV/63,F,04/01/2017,11232
DELANCEY/ESSEX,FJMZ,04/01/2017,16341
14 ST,FLM123,04/01/2017,8256
14 ST,FLM123,04/01/2017,8256
6 AV,FLM123,04/01/2017,3846
23 ST,FM,04/01/2017,10329
CANAL ST,JNQRZ6W,04/01/2017,41707
BOWERY,JZ,04/01/2017,3089
BROAD ST,JZ,04/01/2017,2953
CHAMBERS ST,JZ456,04/01/2017,2665
1 AV,L,04/01/2017,13630
3 AV,L,04/01/2017,4856
49 ST,NQRW,04/01/2017,14993
5 AV/59 ST,NQRW,04/01/2017,9304
57 ST-7 AV,NQRW,04/01/2017,19165
59 ST,NRW,04/01/2017,9539
8 ST-NYU,NRW,04/01/2017,12061
PRINCE ST,NRW,04/01/2017,12741
RECTOR ST,NRW,04/01/2017,5338
72 ST-2 AVE,Q,04/01/2017,13558
86 ST-2 AVE,Q,04/01/2017,16791
96 ST-2 AVE,Q,04/01/2017,10349
WHITEHALL S-FRY,R1W,04/01/2017,10156
CORTLANDT ST,RNW,04/01/2017,13771
103 ST,1,04/02/2017,7365
116 ST-COLUMBIA,1,04/02/2017,6743
125 ST,1,04/02/2017,4412
137 ST CITY COL,1,04/02/2017,7197
157 ST,1,04/02/2017,6520
18 ST,1,04/02/2017,3573
181 ST,1,04/02/2017,6692
191 ST,1,04/02/2017,4430
207 ST,1,04/02/2017,3612
215 ST,1,04/02/2017,957
28 ST,1,04/02/2017,5124
50 ST,1,04/02/2017,11083
66 ST-LINCOLN,1,04/02/2017,9976
79 ST,1,04/02/2017,9306
86 ST,1,04/02/2017,9893
CANAL ST,1,04/02/2017,2069
CHRISTOPHER ST,1,04/02/2017,8799
DYCKMAN ST,1,04/02/2017,4200
HOUSTON ST,1,04/02/2017,3678
RECTOR ST,1,04/02/2017,4000
TWENTY THIRD ST,1,04/02/2017,2315
145 ST,3,04/02/2017,1552
HARLEM 148 ST,3,04/02/2017,1748
103 ST,6,04/02/2017,5770
110 ST,6,04/02/2017,5414
116 ST,6,04/02/2017,8180
23 ST,6,04/02/2017,7364
28 ST,6,04/02/2017,6662
33 ST,6,04/02/2017,9594
51 ST,6,04/02/2017,7217
51 ST,6,04/02/2017,7217
68ST-HUNTER CO,6,04/02/2017,6391
96 ST,6,04/02/2017,6094
ASTOR PL,6,04/02/2017,7510
SPRING ST,6,04/02/2017,6111
34 ST-HUDSON YD,7,04/02/2017,4233
116 ST,23,04/02/2017,6819
125 ST,23,04/02/2017,8815
135 ST,23,04/02/2017,7667
CENTRAL PK N110,23,04/02/2017,5011
BOWLING GREEN,45,04/02/2017,11
WALL ST,45,04/02/2017,10
72 ST,123,04/02/2017,23099
96 ST,123,04/02/2017,20346
CHAMBERS ST,123,04/02/2017,7028
125 ST,456,04/02/2017,11400
86 ST,456,04/02/2017,15905
TIMES SQ-42 ST,1237ACENQRSW,04/02/2017,39892
59 ST COLUMBUS,1ABCD,04/02/2017,7063
168 ST,1AC,04/02/2017,3952
SOUTH FERRY,1RW,04/02/2017,7182
FULTON ST,2345ACJZ,04/02/2017,16324
PARK PLACE,23ACE,04/02/2017,1278
GRD CNTRL-42 ST,4567S,04/02/2017,36148
BROOKLYN BRIDGE,456JZ,04/02/2017,8662
14 ST-UNION SQ,456LNQRW,04/02/2017,15981
59 ST,456NQRW,04/02/2017,15075
175 ST,A,04/02/2017,6256
181 ST,A,04/02/2017,5752
190 ST,A,04/02/2017,2593
DYCKMAN ST,A,04/02/2017,3679
