PRINCE ST, NRW, 04/22/2017, 12609, 
RECTOR ST, NRW, 04/22/2017, 7641, 
72 ST-2 AVE, Q, 04/22/2017, 14871, 
86 ST-2 AVE, Q, 04/22/2017, 18323, 
96 ST-2 AVE, Q, 04/22/2017, 11102, 
WHITEHALL S-FRY, R1W, 04/22/2017, 17128, 
CORTLANDT ST, RNW, 04/22/2017, 16863, 
103 ST, 1, 04/23/2017, 7849, 
116 ST-COLUMBIA, 1, 04/23/2017, 7126, 
125 ST, 1, 04/23/2017, 4356, 
137 ST CITY COL, 1, 04/23/2017, 6988, 
157 ST, 1, 04/23/2017, 6522, 
18 ST, 1, 04/23/2017, 2673, 
181 ST, 1, 04/23/2017, 6628, 
191 ST, 1, 04/23/2017, 4678, 
207 ST, 1, 04/23/2017, 3731, 
215 ST, 1, 04/23/2017, 974, 
28 ST, 1, 04/23/2017, 4517, 
50 ST, 1, 04/23/2017, 8991, 
66 ST-LINCOLN, 1, 04/23/2017, 10380, 
79 ST, 1, 04/23/2017, 10547, 
86 ST, 1, 04/23/2017, 10640, 
CANAL ST, 1, 04/23/2017, 1797, 
CHRISTOPHER ST, 1, 04/23/2017, 7374, 
DYCKMAN ST, 1, 04/23/2017, 4195, 
HOUSTON ST, 1, 04/23/2017, 2794, 
RECTOR ST, 1, 04/23/2017, 8, 
TWENTY THIRD ST, 1, 04/23/2017, 2321, 
145 ST, 3, 04/23/2017, 1535, 
HARLEM 148 ST, 3, 04/23/2017, 1725, 
103 ST, 6, 04/23/2017, 6254, 
110 ST, 6, 04/23/2017, 5309, 
116 ST, 6, 04/23/2017, 8587, 
23 ST, 6, 04/23/2017, 7576, 
28 ST, 6, 04/23/2017, 7057, 
33 ST, 6, 04/23/2017, 9452, 
51 ST, 6, 04/23/2017, 7148, 
51 ST, 6, 04/23/2017, 7148, 
68ST-HUNTER CO, 6, 04/23/2017, 7391, 
96 ST, 6, 04/23/2017, 6477, 
ASTOR PL, 6, 04/23/2017, 8061, 
SPRING ST, 6, 04/23/2017, 5892, 
34 ST-HUDSON YD, 7, 04/23/2017, 9207, 
116 ST, 23, 04/23/2017, 7480, 
125 ST, 23, 04/23/2017, 8867, 
135 ST, 23, 04/23/2017, 7587, 
CENTRAL PK N110, 23, 04/23/2017, 5732, 
BOWLING GREEN, 45, 04/23/2017, 15, 
WALL ST, 45, 04/23/2017, 1, 
72 ST, 123, 04/23/2017, 25642, 
96 ST, 123, 04/23/2017, 22169, 
CHAMBERS ST, 123, 04/23/2017, 8184, 
125 ST, 456, 04/23/2017, 11712, 
86 ST, 456, 04/23/2017, 16940, 
TIMES SQ-42 ST, 1237ACENQRSW, 04/23/2017, 38223, 
59 ST COLUMBUS, 1ABCD, 04/23/2017, 7160, 
168 ST, 1AC, 04/23/2017, 4206, 
SOUTH FERRY, 1RW, 04/23/2017, 6, 
FULTON ST, 2345ACJZ, 04/23/2017, 13904, 
PARK PLACE, 23ACE, 04/23/2017, 1404, 
GRD CNTRL-42 ST, 4567S, 04/23/2017, 37075, 
BROOKLYN BRIDGE, 456JZ, 04/23/2017, 9183, 
14 ST-UNION SQ, 456LNQRW, 04/23/2017, 15464, 
59 ST, 456NQRW, 04/23/2017, 16367, 
175 ST, A, 04/23/2017, 6058, 
181 ST, A, 04/23/2017, 6021, 
190 ST, A, 04/23/2017, 2585, 
DYCKMAN ST, A, 04/23/2017, 3662, 
INWOOD-207 ST, A, 04/23/2017, 4324, 
145 ST, ABCD, 04/23/2017, 12406, 
W 4 ST-WASH SQ, ABCDEFM, 04/23/2017, 22695, 
125 ST, ACBD, 04/23/2017, 15681, 
CANAL ST, ACE, 04/23/2017, 4244, 
CANAL ST, ACE, 04/23/2017, 4244, 
CHAMBERS ST, ACE23, 04/23/2017, 5507, 
14 ST, ACEL, 04/23/2017, 7666, 
42 ST-PORT AUTH, ACENQRS1237W, 04/23/2017, 43023, 
FULTON ST, ACJZ2345, 04/23/2017, 5375, 
103 ST, BC, 04/23/2017, 1315, 
116 ST, BC, 04/23/2017, 1479, 
135 ST, BC, 04/23/2017, 2074, 
72 ST, BC, 04/23/2017, 1921, 
81 ST-MUSEUM, BC, 04/23/2017, 2864, 
86 ST, BC, 04/23/2017, 1805, 
96 ST, BC, 04/23/2017, 1661, 
CATHEDRAL PKWY, BC, 04/23/2017, 1786, 
155 ST, BD, 04/23/2017, 2043, 
GRAND ST, BD, 04/23/2017, 13510, 
7 AV, BDE, 04/23/2017, 3547, 
47-50 STS ROCK, BDFM, 04/23/2017, 14279, 
42 ST-BRYANT PK, BDFM7, 04/23/2017, 11455, 
34 ST-HERALD SQ, BDFMNQRW, 04/23/2017, 50895, 
B'WAY-LAFAYETTE, BDFQ6, 04/23/2017, 9888, 
163 ST-AMSTERDM, C, 04/23/2017, 2415, 
