Main Class Initiated!
Table Created!
...
Refactoring by turnstyle...
Refactoring by station...
Printing relevant...
16514 36
 FULTON ST,  2345ACJZ,  03/29/2017, 1294176, 
 GRD CNTRL-42 ST,  4567S,  03/29/2017, -1711597595, 
 59 ST,  456NQRW,  03/29/2017, 1786200939, 
 145 ST,  ABCD,  03/29/2017, 24729, 
 59 ST COLUMBUS,  ABCD1,  03/29/2017, 53184, 
 W 4 ST-WASH SQ,  ABCDEFM,  03/29/2017, 36713, 
 125 ST,  ACBD,  03/29/2017, 27731, 
 CHAMBERS ST,  ACE23,  03/29/2017, 32077, 
 42 ST-PORT AUTH,  ACENQRS1237W,  03/29/2017, -1100978166, 
 47-50 STS ROCK,  BDFM,  03/29/2017, 55471, 
 42 ST-BRYANT PK,  BDFM7,  03/29/2017, 38178, 
 34 ST-HERALD SQ,  BDFMNQRW,  03/29/2017, 125493947, 
 23 ST,  CE,  03/29/2017, 21411, 
 5 AV/53 ST,  EM,  03/29/2017, 26274, 
 LEXINGTON AV/53,  EM6,  03/29/2017, 40651091, 
 23 ST,  FM,  03/29/2017, -1237783556, 
 CANAL ST,  JNQRZ6W,  03/29/2017, -295547103, 
 14 ST-UNION SQ,  LNQR456W,  03/29/2017, 67855, 
 49 ST,  NQRW,  03/29/2017, 22393, 
 57 ST-7 AV,  NQRW,  03/29/2017, 30868, 
 23 ST,  NRW,  03/29/2017, 23728, 
 TIMES SQ-42 ST,  1237ACENQRSW,  03/30/2017, 1732233095, 
 34 ST-PENN STA,  123ACE,  03/30/2017, 54279, 
 14 ST,  123FLM,  03/30/2017, 20701, 
 FULTON ST,  2345ACJZ,  03/30/2017, 1295665, 
 GRD CNTRL-42 ST,  4567S,  03/30/2017, -1711591800, 
 59 ST,  456NQRW,  03/30/2017, 1786203875, 
 145 ST,  ABCD,  03/30/2017, 24683, 
 59 ST COLUMBUS,  ABCD1,  03/30/2017, 52386, 
 W 4 ST-WASH SQ,  ABCDEFM,  03/30/2017, 37449, 
 125 ST,  ACBD,  03/30/2017, 27857, 
 CHAMBERS ST,  ACE23,  03/30/2017, 32203, 
 42 ST-PORT AUTH,  ACENQRS1237W,  03/30/2017, -1100985203, 
 47-50 STS ROCK,  BDFM,  03/30/2017, 55856, 
 42 ST-BRYANT PK,  BDFM7,  03/30/2017, 37515, 
 34 ST-HERALD SQ,  BDFMNQRW,  03/30/2017, 125504227, 
 23 ST,  CE,  03/30/2017, 21913, 
 5 AV/53 ST,  EM,  03/30/2017, 26264, 
 LEXINGTON AV/53,  EM6,  03/30/2017, 40655633, 
 23 ST,  FM,  03/30/2017, -1237793098, 
 CANAL ST,  JNQRZ6W,  03/30/2017, -295551409, 
 14 ST-UNION SQ,  LNQR456W,  03/30/2017, 67086, 
 49 ST,  NQRW,  03/30/2017, 22395, 
 57 ST-7 AV,  NQRW,  03/30/2017, 30893, 
 23 ST,  NRW,  03/30/2017, 23549, 
 TIMES SQ-42 ST,  1237ACENQRSW,  03/31/2017, 1732239729, 
 34 ST-PENN STA,  123ACE,  03/31/2017, 55244, 
 14 ST,  123FLM,  03/31/2017, 18564, 
 FULTON ST,  2345ACJZ,  03/31/2017, 1296081, 
 GRD CNTRL-42 ST,  4567S,  03/31/2017, -1782985692, 
 59 ST,  456NQRW,  03/31/2017, 1786204750, 
 145 ST,  ABCD,  03/31/2017, 22262, 
 59 ST COLUMBUS,  ABCD1,  03/31/2017, 48053, 
 W 4 ST-WASH SQ,  ABCDEFM,  03/31/2017, 33820, 
 125 ST,  ACBD,  03/31/2017, 25946, 
 CHAMBERS ST,  ACE23,  03/31/2017, 28269, 
 42 ST-PORT AUTH,  ACENQRS1237W,  03/31/2017, -1100988131, 
 47-50 STS ROCK,  BDFM,  03/31/2017, 57964, 
 42 ST-BRYANT PK,  BDFM7,  03/31/2017, 35632, 
 34 ST-HERALD SQ,  BDFMNQRW,  03/31/2017, 125516865, 
 23 ST,  CE,  03/31/2017, 22140, 
 5 AV/53 ST,  EM,  03/31/2017, 29877, 
 LEXINGTON AV/53,  EM6,  03/31/2017, 40660675, 
 23 ST,  FM,  03/31/2017, -1237801334, 
 CANAL ST,  JNQRZ6W,  03/31/2017, -295555986, 
 14 ST-UNION SQ,  LNQR456W,  03/31/2017, 61683, 
 49 ST,  NQRW,  03/31/2017, 22778, 
 57 ST-7 AV,  NQRW,  03/31/2017, 29006, 
 23 ST,  NRW,  03/31/2017, 23113, 
 TIMES SQ-42 ST,  1237ACENQRSW,  04/01/2017, 1732229150, 
 34 ST-PENN STA,  123ACE,  04/01/2017, 26841, 
 14 ST,  123FLM,  04/01/2017, 14786, 
 FULTON ST,  2345ACJZ,  04/01/2017, 1255909, 
 GRD CNTRL-42 ST,  4567S,  04/01/2017, -1783035617, 
 59 ST,  456NQRW,  04/01/2017, 1786203619, 
 145 ST,  ABCD,  04/01/2017, 15006, 
 59 ST COLUMBUS,  ABCD1,  04/01/2017, 27815, 
 W 4 ST-WASH SQ,  ABCDEFM,  04/01/2017, 25791, 
 125 ST,  ACBD,  04/01/2017, 17753, 
 CHAMBERS ST,  ACE23,  04/01/2017, 9705, 
 42 ST-PORT AUTH,  ACENQRS1237W,  04/01/2017, -1101032557, 
 47-50 STS ROCK,  BDFM,  04/01/2017, 15617, 
 42 ST-BRYANT PK,  BDFM7,  04/01/2017, 11438, 
 34 ST-HERALD SQ,  BDFMNQRW,  04/01/2017, 125502282, 
 23 ST,  CE,  04/01/2017, 11307, 
 5 AV/53 ST,  EM,  04/01/2017, 43, 
 LEXINGTON AV/53,  EM6,  04/01/2017, 40643265, 
 23 ST,  FM,  04/01/2017, -1237800146, 
 CANAL ST,  JNQRZ6W,  04/01/2017, -295557791, 
 14 ST-UNION SQ,  LNQR456W,  04/01/2017, 41691, 
 49 ST,  NQRW,  04/01/2017, 14993, 
 57 ST-7 AV,  NQRW,  04/01/2017, 19165, 
 23 ST,  NRW,  04/01/2017, 12299, 
 TIMES SQ-42 ST,  1237ACENQRSW,  04/02/2017, 1732236923, 
 34 ST-PENN STA,  123ACE,  04/02/2017, 25009, 
 14 ST,  123FLM,  04/02/2017, 14692, 
 FULTON ST,  2345ACJZ,  04/02/2017, 1253745, 
 GRD CNTRL-42 ST,  4567S,  04/02/2017, -1783042478, 
 59 ST,  456NQRW,  04/02/2017, 35972245, 
 145 ST,  ABCD,  04/02/2017, 11997, 
 59 ST COLUMBUS,  ABCD1,  04/02/2017, 26480, 
 W 4 ST-WASH SQ,  ABCDEFM,  04/02/2017, 22887, 
 125 ST,  ACBD,  04/02/2017, 14953, 
 CHAMBERS ST,  ACE23,  04/02/2017, 7992, 
 42 ST-PORT AUTH,  ACENQRS1237W,  04/02/2017, -1101043369, 
 47-50 STS ROCK,  BDFM,  04/02/2017, 12016, 
 42 ST-BRYANT PK,  BDFM7,  04/02/2017, 9287, 
 34 ST-HERALD SQ,  BDFMNQRW,  04/02/2017, 125508459, 
 23 ST,  CE,  04/02/2017, 8993, 
 5 AV/53 ST,  EM,  04/02/2017, 0, 
 LEXINGTON AV/53,  EM6,  04/02/2017, 40640766, 
 23 ST,  FM,  04/02/2017, -1237801903, 
 CANAL ST,  JNQRZ6W,  04/02/2017, -295558888, 
 14 ST-UNION SQ,  LNQR456W,  04/02/2017, 35092, 
 49 ST,  NQRW,  04/02/2017, 13302, 
 57 ST-7 AV,  NQRW,  04/02/2017, 17476, 
 23 ST,  NRW,  04/02/2017, 9738, 
 TIMES SQ-42 ST,  1237ACENQRSW,  04/03/2017, 1732271740, 
 34 ST-PENN STA,  123ACE,  04/03/2017, 48780, 
 14 ST,  123FLM,  04/03/2017, 20421, 
 FULTON ST,  2345ACJZ,  04/03/2017, 1292900, 
 GRD CNTRL-42 ST,  4567S,  04/03/2017, -1782984983, 
 59 ST,  456NQRW,  04/03/2017, 1786210864, 
 145 ST,  ABCD,  04/03/2017, 23605, 
 59 ST COLUMBUS,  ABCD1,  04/03/2017, 50942, 
 W 4 ST-WASH SQ,  ABCDEFM,  04/03/2017, 34819, 
 125 ST,  ACBD,  04/03/2017, 27077, 
 CHAMBERS ST,  ACE23,  04/03/2017, 31771, 
 42 ST-PORT AUTH,  ACENQRS1237W,  04/03/2017, -1101012820, 
 47-50 STS ROCK,  BDFM,  04/03/2017, 51992, 
 42 ST-BRYANT PK,  BDFM7,  04/03/2017, 36281, 
 34 ST-HERALD SQ,  BDFMNQRW,  04/03/2017, 125545353, 
 23 ST,  CE,  04/03/2017, 20495, 
 5 AV/53 ST,  EM,  04/03/2017, 23587, 
 LEXINGTON AV/53,  EM6,  04/03/2017, 40663301, 
 23 ST,  FM,  04/03/2017, -1237815738, 
