137 ST CITY COL, 1, 04/25/2017, 14714, 
157 ST, 1, 04/25/2017, 10066, 
18 ST, 1, 04/25/2017, 8210, 
215 ST, 1, 04/25/2017, 2048, 
86 ST, 1, 04/25/2017, 16685, 
CANAL ST, 1, 04/25/2017, 6392, 
DYCKMAN ST, 1, 04/25/2017, 6213, 
HARLEM 148 ST, 3, 04/25/2017, 3974, 
103 ST, 6, 04/25/2017, 14254, 
110 ST, 6, 04/25/2017, 11741, 
28 ST, 6, 04/25/2017, 23296, 
33 ST, 6, 04/25/2017, 30613, 
51 ST, 6, 04/25/2017, 20410, 
116 ST, 23, 04/25/2017, 11295, 
125 ST, 23, 04/25/2017, 14569, 
135 ST, 23, 04/25/2017, 14330, 
BOWLING GREEN, 45, 04/25/2017, 28941, 
96 ST, 123, 04/25/2017, 35673, 
59 ST, 456NQRW, 04/25/2017, 38874, 
181 ST, A, 04/25/2017, 11764, 
181 ST, A, 04/25/2017, 11764, 
DYCKMAN ST, A, 04/25/2017, 7163, 
CHAMBERS ST, ACE23, 04/25/2017, 32028, 
14 ST, ACEL, 04/25/2017, 21121, 
103 ST, BC, 04/25/2017, 4524, 
103 ST, BC, 04/25/2017, 4524, 
72 ST, BC, 04/25/2017, 7908, 
86 ST, BC, 04/25/2017, 10819, 
96 ST, BC, 04/25/2017, 9460, 
CATHEDRAL PKWY, BC, 04/25/2017, 7178, 
155 ST, C, 04/25/2017, 2806, 
6 AV, FLM123, 04/25/2017, 5010, 
23 ST, FM, 04/25/2017, 28382, 
CANAL ST, JNQRZ6W, 04/25/2017, 40651, 
1 AV, L, 04/25/2017, 19238, 
57 ST-7 AV, NQRW, 04/25/2017, 30131, 
23 ST, NRW, 04/25/2017, 24311, 
RECTOR ST, NRW, 04/25/2017, 6566, 
125 ST, 1, 04/26/2017, 6995, 
137 ST CITY COL, 1, 04/26/2017, 15016, 
157 ST, 1, 04/26/2017, 10873, 
18 ST, 1, 04/26/2017, 8088, 
215 ST, 1, 04/26/2017, 1998, 
86 ST, 1, 04/26/2017, 19246, 
CANAL ST, 1, 04/26/2017, 6152, 
DYCKMAN ST, 1, 04/26/2017, 6977, 
HARLEM 148 ST, 3, 04/26/2017, 4090, 
103 ST, 6, 04/26/2017, 15000, 
110 ST, 6, 04/26/2017, 12103, 
28 ST, 6, 04/26/2017, 100387456, 
33 ST, 6, 04/26/2017, 29537, 
51 ST, 6, 04/26/2017, 19295, 
116 ST, 23, 04/26/2017, 11850, 
125 ST, 23, 04/26/2017, 15280, 
135 ST, 23, 04/26/2017, 14498, 
BOWLING GREEN, 45, 04/26/2017, 30333, 
96 ST, 123, 04/26/2017, 37162, 
59 ST, 456NQRW, 04/26/2017, 40199, 
181 ST, A, 04/26/2017, 11489, 
181 ST, A, 04/26/2017, 11489, 
DYCKMAN ST, A, 04/26/2017, 6871, 
CHAMBERS ST, ACE23, 04/26/2017, 31859, 
14 ST, ACEL, 04/26/2017, 19004, 
103 ST, BC, 04/26/2017, 4746, 
103 ST, BC, 04/26/2017, 4746, 
72 ST, BC, 04/26/2017, 8221, 
96 ST, BC, 04/26/2017, 9786, 
CATHEDRAL PKWY, BC, 04/26/2017, 7595, 
155 ST, C, 04/26/2017, 2832, 
6 AV, FLM123, 04/26/2017, 5099, 
23 ST, FM, 04/26/2017, 28324, 
CANAL ST, JNQRZ6W, 04/26/2017, 136403, 
1 AV, L, 04/26/2017, 19856, 
57 ST-7 AV, NQRW, 04/26/2017, 31112, 
23 ST, NRW, 04/26/2017, 23287, 
RECTOR ST, NRW, 04/26/2017, 6659, 
125 ST, 1, 04/27/2017, 7245, 
137 ST CITY COL, 1, 04/27/2017, 15225, 
157 ST, 1, 04/27/2017, 10928, 
18 ST, 1, 04/27/2017, 8207, 
215 ST, 1, 04/27/2017, 1933, 
86 ST, 1, 04/27/2017, 18708, 
CANAL ST, 1, 04/27/2017, 6212, 
DYCKMAN ST, 1, 04/27/2017, 7266, 
HARLEM 148 ST, 3, 04/27/2017, 4095, 
103 ST, 6, 04/27/2017, 14654, 
110 ST, 6, 04/27/2017, 12267, 
28 ST, 6, 04/27/2017, 22655, 
33 ST, 6, 04/27/2017, 29891, 
51 ST, 6, 04/27/2017, 20012, 
116 ST, 23, 04/27/2017, 11926, 
125 ST, 23, 04/27/2017, 15626, 
135 ST, 23, 04/27/2017, 14751, 
BOWLING GREEN, 45, 04/27/2017, 31566, 
96 ST, 123, 04/27/2017, 37570, 
59 ST, 456NQRW, 04/27/2017, 40786, 
181 ST, A, 04/27/2017, 11767, 
181 ST, A, 04/27/2017, 11767, 
DYCKMAN ST, A, 04/27/2017, 7020, 
CHAMBERS ST, ACE23, 04/27/2017, 32600, 
14 ST, ACEL, 04/27/2017, 19816, 
103 ST, BC, 04/27/2017, 4816, 
103 ST, BC, 04/27/2017, 4816, 
72 ST, BC, 04/27/2017, 8589, 
96 ST, BC, 04/27/2017, 9878, 
CATHEDRAL PKWY, BC, 04/27/2017, 7616, 
155 ST, C, 04/27/2017, 2888, 
6 AV, FLM123, 04/27/2017, 5220, 
23 ST, FM, 04/27/2017, 28585, 
CANAL ST, JNQRZ6W, 04/27/2017, 44582, 
1 AV, L, 04/27/2017, 19736, 
57 ST-7 AV, NQRW, 04/27/2017, 31460, 
23 ST, NRW, 04/27/2017, 23752, 
RECTOR ST, NRW, 04/27/2017, 6974, 
125 ST, 1, 04/28/2017, 7472, 
137 ST CITY COL, 1, 04/28/2017, 14279, 
157 ST, 1, 04/28/2017, 11154, 
