103 ST,1, 11/27/2016,6496,
103 ST,1, 11/28/2016,11459,
103 ST,1, 11/29/2016,12284,
103 ST,1, 11/30/2016,12571,
103 ST,1, 12/02/2016,12571,
103 ST,1, 12/01/2016,12776,11359.5
116 ST-COLUMBIA,1, 11/27/2016,4753,
116 ST-COLUMBIA,1, 11/28/2016,13273,
116 ST-COLUMBIA,1, 11/29/2016,15118,
116 ST-COLUMBIA,1, 11/30/2016,15401,
116 ST-COLUMBIA,1, 12/02/2016,15532,
116 ST-COLUMBIA,1, 12/01/2016,15812,13314.8333333333
125 ST,1, 11/27/2016,3826,
125 ST,1, 11/28/2016,7364,
125 ST,1, 11/29/2016,7504,
125 ST,1, 11/30/2016,7677,
125 ST,1, 12/01/2016,7991,
125 ST,1, 12/02/2016,8531,7148.8333333333
137 ST CITY COL,1, 11/27/2016,6239,
137 ST CITY COL,1, 11/28/2016,14275,
137 ST CITY COL,1, 11/29/2016,14293,
137 ST CITY COL,1, 12/02/2016,14308,
137 ST CITY COL,1, 11/30/2016,14988,
137 ST CITY COL,1, 12/01/2016,15264,13227.8333333333
145 ST,1, 11/27/2016,5970,
145 ST,1, 11/29/2016,9594,
145 ST,1, 11/28/2016,9847,
145 ST,1, 11/30/2016,10112,
145 ST,1, 12/02/2016,10534,
145 ST,1, 12/01/2016,10749,9467.6666666667
14TH STREET,1, 11/27/2016,2176,
14TH STREET,1, 11/26/2016,2959,
14TH STREET,1, 11/28/2016,8005,
14TH STREET,1, 12/02/2016,8203,
14TH STREET,1, 12/01/2016,8351,
14TH STREET,1, 11/29/2016,8394,6348
14TH STREET,1, 11/30/2016,8547,
157 ST,1, 11/27/2016,5911,
157 ST,1, 11/26/2016,6562,
157 ST,1, 11/29/2016,10157,
157 ST,1, 11/28/2016,10312,
157 ST,1, 11/30/2016,10628,8686.1666666667
157 ST,1, 12/02/2016,11121,
157 ST,1, 12/01/2016,11280,
18 ST,1, 11/27/2016,2943,
18 ST,1, 11/26/2016,3513,
18 ST,1, 11/28/2016,8288,
18 ST,1, 12/02/2016,8917,7677
18 ST,1, 11/29/2016,9390,
18 ST,1, 12/01/2016,9398,
18 ST,1, 11/30/2016,9492,
181 ST,1, 11/27/2016,6997,
181 ST,1, 11/26/2016,8295,
