Station, Line, Date, Swipes
CATHEDRAL PKWY, 1, 11/30/2016, 11808
CHRISTOPHER ST, 1, 11/30/2016, 13362
CITY / BUS, 1, 11/30/2016, 15587
DYCKMAN ST, 1, 11/30/2016, 7360
EXCHANGE PLACE, 1, 11/30/2016, 18268
FRANKLIN ST, 1, 11/30/2016, 5752
GROVE STREET, 1, 11/30/2016, 20130
HARRISON, 1, 11/30/2016, 8829
HOUSTON ST, 1, 11/30/2016, 14771
JOURNAL SQUARE, 1, 11/30/2016, 20976
LACKAWANNA, 1, 11/30/2016, 8780
MARBLE HILL-225, 1, 11/30/2016, 5782
NEWARK BM BW, 1, 11/30/2016, 15440
NEWARK C, 1, 11/30/2016, 6420
NEWARK HM HE, 1, 11/30/2016, 127
NEWARK HW BMEBE, 1, 11/30/2016, 5254
PAVONIA/NEWPORT, 1, 11/30/2016, 19322
RECTOR ST, 1, 11/30/2016, 9764
ST. GEORGE, 1, 11/30/2016, 15458
THIRTY ST, 1, 11/30/2016, 7220
THIRTY THIRD ST, 1, 11/30/2016, 20900
TOMPKINSVILLE, 1, 11/30/2016, 721
TWENTY THIRD ST, 1, 11/30/2016, 9557
V.CORTLANDT PK, 1, 11/30/2016, 7641
WAKEFIELD/241, 2, 11/30/2016, 5083
145 ST, 3, 11/30/2016, 3708
HARLEM 148 ST, 3, 11/30/2016, 4204
KINGSTON AV, 3, 11/30/2016, 4864
NEW LOTS AV, 3, 11/30/2016, 6479
NOSTRAND AV, 3, 11/30/2016, 4204
ROCKAWAY AV, 3, 11/30/2016, 6603
SARATOGA AV, 3, 11/30/2016, 6326
VAN SICLEN AV, 3, 11/30/2016, 6572
167 ST, 4, 11/30/2016, 10062
170 ST, 4, 11/30/2016, 9432
176 ST, 4, 11/30/2016, 6550
183 ST, 4, 11/30/2016, 6514
BEDFORD PK BLVD, 4, 11/30/2016, 6541
BURNSIDE AV, 4, 11/30/2016, 12027
FORDHAM RD, 4, 11/30/2016, 12131
KINGSBRIDGE RD, 4, 11/30/2016, 10134
MOSHOLU PKWY, 4, 11/30/2016, 9050
MT EDEN AV, 4, 11/30/2016, 5588
WOODLAWN, 4, 11/30/2016, 7585
BAYCHESTER AV, 5, 11/30/2016, 4250
EASTCHSTER/DYRE, 5, 11/30/2016, 4939
GUN HILL RD, 5, 11/30/2016, 6122
MORRIS PARK, 5, 11/30/2016, 2542
PELHAM PKWY, 5, 11/30/2016, 3477
103 ST, 6, 11/30/2016, 15911
110 ST, 6, 11/30/2016, 12971
116 ST, 6, 11/30/2016, 16301
23 ST, 6, 11/30/2016, 30101
28 ST, 6, 11/30/2016, 23071
3 AV 138 ST, 6, 11/30/2016, 8139
33 ST, 6, 11/30/2016, 30194
51 ST, 6, 11/30/2016, 24777
68ST-HUNTER CO, 6, 11/30/2016, 35391
77 ST, 6, 11/30/2016, 35799
96 ST, 6, 11/30/2016, 27121
ASTOR PL, 6, 11/30/2016, 15181
BROOK AV, 6, 11/30/2016, 6079
BUHRE AV, 6, 11/30/2016, 3734
CASTLE HILL AV, 6, 11/30/2016, 7169
CYPRESS AV, 6, 11/30/2016, 4033
E 143/ST MARY'S, 6, 11/30/2016, 1129
E 149 ST, 6, 11/30/2016, 4873
ELDER AV, 6, 11/30/2016, 6570
HUNTS POINT AV, 6, 11/30/2016, 10310
LONGWOOD AV, 6, 11/30/2016, 3568
MIDDLETOWN RD, 6, 11/30/2016, 2222
MORISN AV/SNDVW, 6, 11/30/2016, 6943
PARKCHESTER, 6, 11/30/2016, 16324
PELHAM BAY PARK, 6, 11/30/2016, 7562
SPRING ST, 6, 11/30/2016, 10514
ST LAWRENCE AV, 6, 11/30/2016, 4368
WESTCHESTER SQ, 6, 11/30/2016, 7213
WHITLOCK AV, 6, 11/30/2016, 2001
ZEREGA AV, 6, 11/30/2016, 2638
103 ST-CORONA, 7, 11/30/2016, 20612
111 ST, 7, 11/30/2016, 11345
33 ST-RAWSON ST, 7, 11/30/2016, 15958
34 ST-HUDSON YD, 7, 11/30/2016, 9961
40 ST LOWERY ST, 7, 11/30/2016, 11284
46 ST BLISS ST, 7, 11/30/2016, 14174
52 ST, 7, 11/30/2016, 6583
61 ST WOODSIDE, 7, 11/30/2016, 16723
69 ST, 7, 11/30/2016, 4895
82 ST-JACKSON H, 7, 11/30/2016, 16097
90 ST-ELMHURST, 7, 11/30/2016, 17184
COURT SQ, 7, 11/30/2016, 4240
FLUSHING-MAIN, 7, 11/30/2016, 59323
HUNTERS PT AV, 7, 11/30/2016, 7755
JUNCTION BLVD, 7, 11/30/2016, 21987
METS-WILLETS PT, 7, 11/30/2016, 2185
VERNON-JACKSON, 7, 11/30/2016, 15873
116 ST, 23, 11/30/2016, 11282
125 ST, 23, 11/30/2016, 14113
135 ST, 23, 11/30/2016, 15396
BERGEN ST, 23, 11/30/2016, 4004
CENTRAL PK N110, 23, 11/30/2016, 9604
CLARK ST, 23, 11/30/2016, 5770
EASTN PKWY-MUSM, 23, 11/30/2016, 4592
GRAND ARMY PLAZ, 23, 11/30/2016, 8428
HOYT ST, 23, 11/30/2016, 8145
WALL ST, 23, 11/30/2016, 28638
174 ST, 25, 11/30/2016, 7522
219 ST, 25, 11/30/2016, 3411
225 ST, 25, 11/30/2016, 4472
233 ST, 25, 11/30/2016, 5105
3 AV-149 ST, 25, 11/30/2016, 24919
ALLERTON AV, 25, 11/30/2016, 5319
BEVERLY RD, 25, 11/30/2016, 4666
BRONX PARK EAST, 25, 11/30/2016, 2804
BURKE AV, 25, 11/30/2016, 3520
CHURCH AV, 25, 11/30/2016, 9664
E 180 ST, 25, 11/30/2016, 7785
FLATBUSH AV-B.C, 25, 11/30/2016, 22492
FREEMAN ST, 25, 11/30/2016, 5048
GUN HILL RD, 25, 11/30/2016, 7387
INTERVALE AV, 25, 11/30/2016, 3423
JACKSON AV, 25, 11/30/2016, 6046
NEREID AV, 25, 11/30/2016, 3653
NEWKIRK AV, 25, 11/30/2016, 7776
PELHAM PKWY, 25, 11/30/2016, 8806
PRESIDENT ST, 25, 11/30/2016, 4595
PROSPECT AV, 25, 11/30/2016, 7998
SIMPSON ST, 25, 11/30/2016, 9256
STERLING ST, 25, 11/30/2016, 6030
WEST FARMS SQ, 25, 11/30/2016, 7838
WINTHROP ST, 25, 11/30/2016, 7433
CROWN HTS-UTICA, 34, 11/30/2016, 33299
138/GRAND CONC, 45, 11/30/2016, 3615
BOWLING GREEN, 45, 11/30/2016, 32258
WALL ST, 45, 11/30/2016, 21527
34 ST-PENN STA, 123, 11/30/2016, 36379
72 ST, 123, 11/30/2016, 35685
96 ST, 123, 11/30/2016, 36826
CHAMBERS ST, 123, 11/30/2016, 24922
149/GRAND CONC, 245, 11/30/2016, 16043
125 ST, 456, 11/30/2016, 28110
86 ST, 456, 11/30/2016, 65640
NEVINS ST, 2345, 11/30/2016, 10879
TIMES SQ-42 ST, 1237ACENQRSW, 11/30/2016, 81379
34 ST-PENN STA, 123ACE, 11/30/2016, 53676
14 ST, 123FLM, 11/30/2016, 23717
59 ST COLUMBUS, 1ABCD, 11/30/2016, 16830
168 ST, 1AC, 11/30/2016, 14331
SOUTH FERRY, 1RW, 11/30/2016, 13201
FULTON ST, 2345ACJZ, 11/30/2016, 59934
ATL AV-BARCLAY, 2345BDNQR, 11/30/2016, 21959
BOROUGH HALL, 2345R, 11/30/2016, 39118
FRANKLIN AV, 2345S, 11/30/2016, 14811
PARK PLACE, 23ACE, 11/30/2016, 3828
GRD CNTRL-42 ST, 4567S, 11/30/2016, 167534
BROOKLYN BRIDGE, 456JZ, 11/30/2016, 22184
14 ST-UNION SQ, 456LNQRW, 11/30/2016, 27531
59 ST, 456NQRW, 11/30/2016, 49748
161/YANKEE STAD, 4BD, 11/30/2016, 9010
BLEECKER ST, 6DF, 11/30/2016, 15889
5 AVE, 7BDFM, 11/30/2016, 14823
74 ST-BROADWAY, 7EFMR, 11/30/2016, 2831
QUEENSBORO PLZ, 7NQW, 11/30/2016, 13571
104 ST, A, 11/30/2016, 2025
111 ST, A, 11/30/2016, 2639
175 ST, A, 11/30/2016, 13410
181 ST, A, 11/30/2016, 11229
190 ST, A, 11/30/2016, 4811
80 ST, A, 11/30/2016, 4535
88 ST, A, 11/30/2016, 3145
AQUEDUCT N.COND, A, 11/30/2016, 1093
AQUEDUCT RACETR, A, 11/30/2016, 1478
BEACH 25 ST, A, 11/30/2016, 2207
BEACH 36 ST, A, 11/30/2016, 993
BEACH 44 ST, A, 11/30/2016, 734
BEACH 60 ST, A, 11/30/2016, 2529
BEACH 67 ST, A, 11/30/2016, 2439
DYCKMAN ST, A, 11/30/2016, 6623
FAR ROCKAWAY, A, 11/30/2016, 5082
GRANT AV, A, 11/30/2016, 6813
HOWARD BCH JFK, A, 11/30/2016, 2796
INWOOD-207 ST, A, 11/30/2016, 9182
OZONE PK LEFFRT, A, 11/30/2016, 8145
ROCKAWAY BLVD, A, 11/30/2016, 7820
145 ST, ABCD, 11/30/2016, 26330
59 ST COLUMBUS, ABCD1, 11/30/2016, 62363
W 4 ST-WASH SQ, ABCDEFM, 11/30/2016, 32854
EUCLID AV, AC, 11/30/2016, 11305
HIGH ST, AC, 11/30/2016, 7958
NOSTRAND AV, AC, 11/30/2016, 18512
UTICA AV, AC, 11/30/2016, 15846
168 ST, AC1, 11/30/2016, 12279
125 ST, ACBD, 11/30/2016, 29456
34 ST-PENN STA, ACE, 11/30/2016, 86388
CANAL ST, ACE, 11/30/2016, 19609
CHAMBERS ST, ACE23, 11/30/2016, 35926
WORLD TRADE CTR, ACE23, 11/30/2016, 13761
14 ST, ACEL, 11/30/2016, 18752
8 AV, ACEL, 11/30/2016, 17857
42 ST-PORT AUTH, ACENQRS1237W, 11/30/2016, 96494
TIMES SQ-42 ST, ACENQRS1237W, 11/30/2016, 14371
JAY ST-METROTEC, ACF, 11/30/2016, 45607
HOYT-SCHER, ACG, 11/30/2016, 10150
BROADWAY JCT, ACJLZ, 11/30/2016, 9229
FULTON ST, ACJZ2345, 11/30/2016, 26802
FRANKLIN AV, ACS, 11/30/2016, 5962
BEACH 105 ST, AS, 11/30/2016, 305
BEACH 90 ST, AS, 11/30/2016, 821
BEACH 98 ST, AS, 11/30/2016, 585
BROAD CHANNEL, AS, 11/30/2016, 295
ROCKAWAY PARK B, AS, 11/30/2016, 631
103 ST, BC, 11/30/2016, 4538
116 ST, BC, 11/30/2016, 7307
135 ST, BC, 11/30/2016, 6114
72 ST, BC, 11/30/2016, 8545
81 ST-MUSEUM, BC, 11/30/2016, 13212
86 ST, BC, 11/30/2016, 12638
96 ST, BC, 11/30/2016, 10979
CATHEDRAL PKWY, BC, 11/30/2016, 7194
155 ST, BD, 11/30/2016, 4006
167 ST, BD, 11/30/2016, 10761
170 ST, BD, 11/30/2016, 7270
174-175 STS, BD, 11/30/2016, 5640
182-183 STS, BD, 11/30/2016, 5379
BEDFORD PK BLVD, BD, 11/30/2016, 7467
FORDHAM RD, BD, 11/30/2016, 12479
GRAND ST, BD, 11/30/2016, 21793
KINGSBRIDGE RD, BD, 11/30/2016, 8194
TREMONT AV, BD, 11/30/2016, 10173
161/YANKEE STAD, BD4, 11/30/2016, 15250
7 AV, BDE, 11/30/2016, 17310
47-50 STS ROCK, BDFM, 11/30/2016, 68501
42 ST-BRYANT PK, BDFM7, 11/30/2016, 47219
34 ST-HERALD SQ, BDFMNQRW, 11/30/2016, 123862
B'WAY-LAFAYETTE, BDFQ6, 11/30/2016, 17831
DEKALB AV, BDNQR, 11/30/2016, 20961
ATL AV-BARCLAY, BDNQR2345, 11/30/2016, 22110
7 AV, BQ, 11/30/2016, 9603
AVENUE H, BQ, 11/30/2016, 3758
AVENUE J, BQ, 11/30/2016, 6460
AVENUE M, BQ, 11/30/2016, 6931
AVENUE U, BQ, 11/30/2016, 7244
BEVERLEY ROAD, BQ, 11/30/2016, 3173
BRIGHTON BEACH, BQ, 11/30/2016, 14160
CHURCH AV, BQ, 11/30/2016, 18038
CORTELYOU RD, BQ, 11/30/2016, 6518
KINGS HWY, BQ, 11/30/2016, 21287
NECK RD, BQ, 11/30/2016, 4480
NEWKIRK PLAZA, BQ, 11/30/2016, 10941
PARKSIDE AV, BQ, 11/30/2016, 5246
SHEEPSHEAD BAY, BQ, 11/30/2016, 14715
PROSPECT PARK, BQS, 11/30/2016, 10267
155 ST, C, 11/30/2016, 2735
163 ST-AMSTERDM, C, 11/30/2016, 4478
CLINTON-WASH AV, C, 11/30/2016, 7497
KINGSTON-THROOP, C, 11/30/2016, 6566
LAFAYETTE AV, C, 11/30/2016, 4301
LIBERTY AV, C, 11/30/2016, 3210
RALPH AV, C, 11/30/2016, 5658
ROCKAWAY AV, C, 11/30/2016, 5647
SHEPHERD AV, C, 11/30/2016, 3376
VAN SICLEN AVE, C, 11/30/2016, 3200
23 ST, CE, 11/30/2016, 25377
50 ST, CE, 11/30/2016, 21634
SPRING ST, CE, 11/30/2016, 13155
18 AV, D, 11/30/2016, 6340
20 AV, D, 11/30/2016, 5163
25 AV, D, 11/30/2016, 6933
50 ST, D, 11/30/2016, 3492
55 ST, D, 11/30/2016, 2373
71 ST, D, 11/30/2016, 6705
79 ST, D, 11/30/2016, 7194
9 AV, D, 11/30/2016, 5900
BAY 50 ST, D, 11/30/2016, 3367
BAY PKWY, D, 11/30/2016, 7876
FT HAMILTON PKY, D, 11/30/2016, 4677
NORWOOD 205 ST, D, 11/30/2016, 9012
4 AV-9 ST, DFGMNR, 11/30/2016, 3132
4AV-9 ST, DFGMNR, 11/30/2016, 9573
CONEY IS-STILLW, DFNQ, 11/30/2016, 10956
36 ST, DNR, 11/30/2016, 13414
JAMAICA VAN WK, E, 11/30/2016, 4936
JFK JAMAICA CT1, E, 11/30/2016, 6595
75 AV, EF, 11/30/2016, 3849
BRIARWOOD, EF, 11/30/2016, 5330
KEW GARDENS, EF, 11/30/2016, 27727
FOREST HILLS 71, EFMR, 11/30/2016, 27587
JKSN HT-ROOSVLT, EFMR7, 11/30/2016, 47561
JAMAICA CENTER, EJZ, 11/30/2016, 43727
SUTPHIN-ARCHER, EJZ, 11/30/2016, 23976
5 AV/53 ST, EM, 11/30/2016, 29741
LEXINGTON AV/53, EM6, 11/30/2016, 49887
COURT SQ, EMG, 11/30/2016, 11934
COURT SQ-23 ST, EMG, 11/30/2016, 9300
QUEENS PLAZA, EMR, 11/30/2016, 11459
169 ST, F, 11/30/2016, 906076
18 AV, F, 11/30/2016, 4438
2 AV, F, 11/30/2016, 16222
21 ST-QNSBRIDGE, F, 11/30/2016, 10079
57 ST, F, 11/30/2016, 14250
AVENUE I, F, 11/30/2016, 1780
AVENUE N, F, 11/30/2016, 3058
AVENUE P, F, 11/30/2016, 2592
AVENUE U, F, 11/30/2016, 2512
AVENUE X, F, 11/30/2016, 2778
BAY PKWY, F, 11/30/2016, 1223
DITMAS AV, F, 11/30/2016, 3907
EAST BROADWAY, F, 11/30/2016, 14577
JAMAICA 179 ST, F, 11/30/2016, 24119
KINGS HWY, F, 11/30/2016, 4996
LEXINGTON AV/63, F, 11/30/2016, 17703
NEPTUNE AV, F, 11/30/2016, 1844
PARSONS BLVD, F, 11/30/2016, 6958
ROOSEVELT ISLND, F, 11/30/2016, 6886
SUTPHIN BLVD, F, 11/30/2016, 4640
YORK ST, F, 11/30/2016, 9362
15 ST-PROSPECT, FG, 11/30/2016, 6524
7 AV, FG, 11/30/2016, 12155
BERGEN ST, FG, 11/30/2016, 11240
CARROLL ST, FG, 11/30/2016, 12544
CHURCH AV, FG, 11/30/2016, 10307
FT HAMILTON PKY, FG, 11/30/2016, 6274
SMITH-9 ST, FG, 11/30/2016, 4714
DELANCEY/ESSEX, FJMZ, 11/30/2016, 22322
14 ST, FLM123, 11/30/2016, 19921
6 AV, FLM123, 11/30/2016, 5932
23 ST, FM, 11/30/2016, 32844
W 8 ST-AQUARIUM, FQ, 11/30/2016, 2025
21 ST, G, 11/30/2016, 1535
BEDFORD-NOSTRAN, G, 11/30/2016, 8801
BROADWAY, G, 11/30/2016, 4188
CLASSON AV, G, 11/30/2016, 5338
CLINTON-WASH AV, G, 11/30/2016, 5236
FLUSHING AV, G, 11/30/2016, 2855
FULTON ST, G, 11/30/2016, 5700
GREENPOINT AV, G, 11/30/2016, 9793
MYRTLE-WILLOUGH, G, 11/30/2016, 5813
NASSAU ST, G, 11/30/2016, 9234
METROPOLITAN AV, GL, 11/30/2016, 7449
111 ST, J, 11/30/2016, 2773
85 ST-FOREST PK, J, 11/30/2016, 4096
ALABAMA AV, J, 11/30/2016, 2488
CLEVELAND ST, J, 11/30/2016, 3379
CYPRESS HILLS, J, 11/30/2016, 1579
HALSEY ST, J, 11/30/2016, 6109
KOSCIUSZKO ST, J, 11/30/2016, 4847
FLUSHING AV, JM, 11/30/2016, 8388
HEWES ST, JM, 11/30/2016, 2540
LORIMER ST, JM, 11/30/2016, 4973
MARCY AV, JMZ, 11/30/2016, 12947
MYRTLE AV, JMZ, 11/30/2016, 11288
CANAL ST, JNQRZ6W, 11/30/2016, 36263
104 ST, JZ, 11/30/2016, 2832
121 ST, JZ, 11/30/2016, 2290
75 ST-ELDERTS, JZ, 11/30/2016, 4026
BOWERY, JZ, 11/30/2016, 3038
BROAD ST, JZ, 11/30/2016, 7213
CHAUNCEY ST, JZ, 11/30/2016, 3154
CRESCENT ST, JZ, 11/30/2016, 4889
GATES AV, JZ, 11/30/2016, 6599
NORWOOD AV, JZ, 11/30/2016, 3482
VAN SICLEN AV, JZ, 11/30/2016, 2980
WOODHAVEN BLVD, JZ, 11/30/2016, 4926
CHAMBERS ST, JZ456, 11/30/2016, 12783
1 AV, L, 11/30/2016, 22180
3 AV, L, 11/30/2016, 6962
ATLANTIC AV, L, 11/30/2016, 1963
BEDFORD AV, L, 11/30/2016, 25699
BUSHWICK AV, L, 11/30/2016, 2130
CANARSIE-ROCKAW, L, 11/30/2016, 12917
DEKALB AV, L, 11/30/2016, 12581
EAST 105 ST, L, 11/30/2016, 4051
GRAHAM AV, L, 11/30/2016, 10781
GRAND ST, L, 11/30/2016, 7390
HALSEY ST, L, 11/30/2016, 8597
JEFFERSON ST, L, 11/30/2016, 7379
LIVONIA AV, L, 11/30/2016, 3381
MONTROSE AV, L, 11/30/2016, 6970
MORGAN AV, L, 11/30/2016, 7423
NEW LOTS, L, 11/30/2016, 5355
SUTTER AV, L, 11/30/2016, 4681
WILSON AV, L, 11/30/2016, 4522
LORIMER ST, LG, 11/30/2016, 5784
MYRTLE-WYCKOFF, LM, 11/30/2016, 19834
14 ST-UNION SQ, LNQR456W, 11/30/2016, 59967
CENTRAL AV, M, 11/30/2016, 3939
FOREST AVE, M, 11/30/2016, 4541
FRESH POND RD, M, 11/30/2016, 6372
KNICKERBOCKER, M, 11/30/2016, 4015
METROPOLITAN AV, M, 11/30/2016, 4647
SENECA AVE, M, 11/30/2016, 2843
36 ST, MR, 11/30/2016, 4876
46 ST, MR, 11/30/2016, 9163
63 DR-REGO PARK, MR, 11/30/2016, 16884
65 ST, MR, 11/30/2016, 3645
67 AV, MR, 11/30/2016, 10146
ELMHURST AV, MR, 11/30/2016, 13514
GRAND-NEWTOWN, MR, 11/30/2016, 20185
NORTHERN BLVD, MR, 11/30/2016, 7377
STEINWAY ST, MR, 11/30/2016, 14205
WOODHAVEN BLVD, MR, 11/30/2016, 21164
18 AV, N, 11/30/2016, 1905
20 AV, N, 11/30/2016, 1042
8 AV, N, 11/30/2016, 13231
86 ST, N, 11/30/2016, 848
AVENUE U, N, 11/30/2016, 1104
BAY PKWY, N, 11/30/2016, 11389
FT HAMILTON PKY, N, 11/30/2016, 1416
KINGS HWY, N, 11/30/2016, 1029
NEW UTRECHT AV, ND, 11/30/2016, 5667
59 ST, NQR456W, 11/30/2016, 17971
49 ST, NQRW, 11/30/2016, 27040
5 AV/59 ST, NQRW, 11/30/2016, 16587
57 ST-7 AV, NQRW, 11/30/2016, 32313
30 AV, NQW, 11/30/2016, 15270
36 AV, NQW, 11/30/2016, 7522
39 AV, NQW, 11/30/2016, 3124
ASTORIA BLVD, NQW, 11/30/2016, 12638
ASTORIA DITMARS, NQW, 11/30/2016, 17988
BROADWAY, NQW, 11/30/2016, 13094
23 ST, NRW, 11/30/2016, 27906
28 ST, NRW, 11/30/2016, 14187
59 ST, NRW, 11/30/2016, 13765
8 ST-NYU, NRW, 11/30/2016, 18154
CITY HALL, NRW, 11/30/2016, 7334
PRINCE ST, NRW, 11/30/2016, 13199
RECTOR ST, NRW, 11/30/2016, 6870
OCEAN PKWY, Q, 11/30/2016, 3338
25 ST, R, 11/30/2016, 4019
45 ST, R, 11/30/2016, 7019
53 ST, R, 11/30/2016, 7569
77 ST, R, 11/30/2016, 6063
86 ST, R, 11/30/2016, 13020
BAY RIDGE AV, R, 11/30/2016, 8962
BAY RIDGE-95 ST, R, 11/30/2016, 6445
JAY ST-METROTEC, R, 11/30/2016, 4496
PROSPECT AV, R, 11/30/2016, 6064
RIT-MANHATTAN, R, 11/30/2016, 2220
RIT-ROOSEVELT, R, 11/30/2016, 2417
UNION ST, R, 11/30/2016, 6726
WHITEHALL S-FRY, R1W, 11/30/2016, 15439
BOROUGH HALL, R2345, 11/30/2016, 2598
CORTLANDT ST, RNW, 11/30/2016, 14261
PARK PLACE, S, 11/30/2016, 1844
BOTANIC GARDEN, S2345, 11/30/2016, 1752
103 ST, 1, 12/01/2016, 12776
116 ST-COLUMBIA, 1, 12/01/2016, 15812
125 ST, 1, 12/01/2016, 7991
137 ST CITY COL, 1, 12/01/2016, 15264
145 ST, 1, 12/01/2016, 10749
14TH STREET, 1, 12/01/2016, 8351
157 ST, 1, 12/01/2016, 11280
18 ST, 1, 12/01/2016, 9398
181 ST, 1, 12/01/2016, 12749
191 ST, 1, 12/01/2016, 9407
207 ST, 1, 12/01/2016, 7279
215 ST, 1, 12/01/2016, 2328
23 ST, 1, 12/01/2016, 13478
231 ST, 1, 12/01/2016, 10892
238 ST, 1, 12/01/2016, 4641
28 ST, 1, 12/01/2016, 14240
50 ST, 1, 12/01/2016, 27836
66 ST-LINCOLN, 1, 12/01/2016, 22295
79 ST, 1, 12/01/2016, 15640
86 ST, 1, 12/01/2016, 19424
9TH STREET, 1, 12/01/2016, 4838
CANAL ST, 1, 12/01/2016, 5798
CATHEDRAL PKWY, 1, 12/01/2016, 12219
CHRISTOPHER ST, 1, 12/01/2016, 13751
CITY / BUS, 1, 12/01/2016, 16198
DYCKMAN ST, 1, 12/01/2016, 7964
EXCHANGE PLACE, 1, 12/01/2016, 18434
FRANKLIN ST, 1, 12/01/2016, 5865
GROVE STREET, 1, 12/01/2016, 21270
HARRISON, 1, 12/01/2016, 9256
HOUSTON ST, 1, 12/01/2016, 14878
JOURNAL SQUARE, 1, 12/01/2016, 21324
LACKAWANNA, 1, 12/01/2016, 9350
MARBLE HILL-225, 1, 12/01/2016, 6125
NEWARK BM BW, 1, 12/01/2016, 16064
NEWARK C, 1, 12/01/2016, 6401
NEWARK HM HE, 1, 12/01/2016, 0
NEWARK HW BMEBE, 1, 12/01/2016, 5661
PAVONIA/NEWPORT, 1, 12/01/2016, 20405
RECTOR ST, 1, 12/01/2016, 10785
ST. GEORGE, 1, 12/01/2016, 15795
THIRTY ST, 1, 12/01/2016, 8346
THIRTY THIRD ST, 1, 12/01/2016, 22378
TOMPKINSVILLE, 1, 12/01/2016, 841
TWENTY THIRD ST, 1, 12/01/2016, 8628
V.CORTLANDT PK, 1, 12/01/2016, 8076
WAKEFIELD/241, 2, 12/01/2016, 5281
145 ST, 3, 12/01/2016, 3916
HARLEM 148 ST, 3, 12/01/2016, 4395
KINGSTON AV, 3, 12/01/2016, 5011
NEW LOTS AV, 3, 12/01/2016, 6798
NOSTRAND AV, 3, 12/01/2016, 4412
ROCKAWAY AV, 3, 12/01/2016, 7242
SARATOGA AV, 3, 12/01/2016, 6465
VAN SICLEN AV, 3, 12/01/2016, 6933
167 ST, 4, 12/01/2016, 10638
170 ST, 4, 12/01/2016, 9912
176 ST, 4, 12/01/2016, 6890
183 ST, 4, 12/01/2016, 6706
BEDFORD PK BLVD, 4, 12/01/2016, 6719
BURNSIDE AV, 4, 12/01/2016, 12732
FORDHAM RD, 4, 12/01/2016, 12869
KINGSBRIDGE RD, 4, 12/01/2016, 10286
MOSHOLU PKWY, 4, 12/01/2016, 9436
MT EDEN AV, 4, 12/01/2016, 6091
WOODLAWN, 4, 12/01/2016, 7922
BAYCHESTER AV, 5, 12/01/2016, 4507
EASTCHSTER/DYRE, 5, 12/01/2016, 5047
GUN HILL RD, 5, 12/01/2016, 6316
MORRIS PARK, 5, 12/01/2016, 2677
PELHAM PKWY, 5, 12/01/2016, 3576
103 ST, 6, 12/01/2016, 16468
110 ST, 6, 12/01/2016, 13755
116 ST, 6, 12/01/2016, 16968
23 ST, 6, 12/01/2016, 8780263
28 ST, 6, 12/01/2016, 22733
3 AV 138 ST, 6, 12/01/2016, 8401
33 ST, 6, 12/01/2016, 30186
51 ST, 6, 12/01/2016, 2621
68ST-HUNTER CO, 6, 12/01/2016, 36567
77 ST, 6, 12/01/2016, 36108
96 ST, 6, 12/01/2016, 27705
ASTOR PL, 6, 12/01/2016, 15378
BROOK AV, 6, 12/01/2016, 6361
BUHRE AV, 6, 12/01/2016, 3947
CASTLE HILL AV, 6, 12/01/2016, 7584
CYPRESS AV, 6, 12/01/2016, 4156
E 143/ST MARY'S, 6, 12/01/2016, 1148
E 149 ST, 6, 12/01/2016, 5075
ELDER AV, 6, 12/01/2016, 6880
HUNTS POINT AV, 6, 12/01/2016, 10939
LONGWOOD AV, 6, 12/01/2016, 3775
MIDDLETOWN RD, 6, 12/01/2016, 2253
MORISN AV/SNDVW, 6, 12/01/2016, 7337
PARKCHESTER, 6, 12/01/2016, 17259
PELHAM BAY PARK, 6, 12/01/2016, 7991
SPRING ST, 6, 12/01/2016, 11314
ST LAWRENCE AV, 6, 12/01/2016, 4606
WESTCHESTER SQ, 6, 12/01/2016, 7451
WHITLOCK AV, 6, 12/01/2016, 2021
ZEREGA AV, 6, 12/01/2016, 2851
103 ST-CORONA, 7, 12/01/2016, 21551
111 ST, 7, 12/01/2016, 11864
33 ST-RAWSON ST, 7, 12/01/2016, 16164
34 ST-HUDSON YD, 7, 12/01/2016, 8894
40 ST LOWERY ST, 7, 12/01/2016, 11596
46 ST BLISS ST, 7, 12/01/2016, 14693
52 ST, 7, 12/01/2016, 6682
61 ST WOODSIDE, 7, 12/01/2016, 17406
69 ST, 7, 12/01/2016, 4870
82 ST-JACKSON H, 7, 12/01/2016, 16510
90 ST-ELMHURST, 7, 12/01/2016, 17957
COURT SQ, 7, 12/01/2016, 4993
FLUSHING-MAIN, 7, 12/01/2016, 62740
HUNTERS PT AV, 7, 12/01/2016, 7583
JUNCTION BLVD, 7, 12/01/2016, 23035
METS-WILLETS PT, 7, 12/01/2016, 2338
VERNON-JACKSON, 7, 12/01/2016, 17021
116 ST, 23, 12/01/2016, 11954
125 ST, 23, 12/01/2016, 15364
135 ST, 23, 12/01/2016, 16471
BERGEN ST, 23, 12/01/2016, 4128
CENTRAL PK N110, 23, 12/01/2016, 10494
CLARK ST, 23, 12/01/2016, 6114
EASTN PKWY-MUSM, 23, 12/01/2016, 4642
GRAND ARMY PLAZ, 23, 12/01/2016, 8723
HOYT ST, 23, 12/01/2016, 8555
WALL ST, 23, 12/01/2016, 28977
174 ST, 25, 12/01/2016, 7661
219 ST, 25, 12/01/2016, 3560
225 ST, 25, 12/01/2016, 4652
233 ST, 25, 12/01/2016, 5407
3 AV-149 ST, 25, 12/01/2016, 26735
ALLERTON AV, 25, 12/01/2016, 5699
BEVERLY RD, 25, 12/01/2016, 4886
